               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.023433,            0.093786,                   0,             0.99556,             0.97345,             0.99344,             0.92254,            0.020097,            0.087972,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.022806,            0.092142,                   0,             0.99616,             0.97482,             0.99367,             0.91773,            0.020384,            0.089729,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.022797,            0.091467,                   0,             0.99623,             0.97597,             0.99377,              0.9228,            0.020183,            0.088397,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022803,            0.090214,                   0,             0.99547,               0.976,             0.99373,             0.92604,            0.019879,             0.08697,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.022511,            0.089897,                   0,             0.99579,             0.97585,             0.99378,             0.92401,             0.01985,            0.086668,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022075,            0.087404,                   0,             0.99598,             0.97654,              0.9939,             0.92646,            0.019607,            0.085165,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.021671,            0.085648,                   0,             0.99567,             0.97576,             0.99378,             0.92953,             0.01953,            0.084666,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.021392,            0.084953,                   0,             0.99573,              0.9758,             0.99381,              0.9305,            0.019488,            0.084369,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.021565,            0.087066,                   0,             0.99575,             0.97557,             0.99384,             0.92964,            0.019457,            0.084186,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.021209,            0.084844,                   0,             0.99573,             0.97526,             0.99381,             0.93205,             0.01938,            0.084123,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.021149,            0.084431,                   0,             0.99573,             0.97531,             0.99379,             0.93128,            0.019483,             0.08396,                   0,            0.000496,            0.000496,            0.000496
